Artist,Total_Streams,As_Lead,Solo,As_Feature,Daily_Streams,Daily_As_Lead,Daily_As_Feature,Tracks,Tracks_As_Lead,Tracks_Solo,Tracks_As_Feature
Steve Lacy,"7,857,161,476","6,926,595,193","6,811,127,048","930,566,283","5,697,070","5,357,844","5,254,111","339,226",61,46,43,15
Måneskin,"7,871,625,173","7,866,527,133","7,497,108,087","5,098,040","3,914,776","3,907,108","3,573,986","7,668",53,52,49,1
Chris Stapleton,"7,873,817,622","6,516,590,319","6,503,408,054","1,357,227,303","6,080,274","5,477,536","5,442,649","602,738",86,68,67,18
The Lumineers,"7,945,424,979","7,629,030,608","7,595,625,135","316,394,371","3,427,950","3,103,034","3,093,774","324,916",122,119,115,3
Kehlani,"7,949,943,223","4,411,612,900","2,996,977,817","3,538,330,323","2,367,402","1,507,907","1,091,330","859,495",193,122,84,71
Oasis,"7,963,136,302","7,963,136,302","7,962,236,335",0,"5,213,785","5,213,785","5,213,453",0,275,275,272,0
Bring Me The Horizon,"8,001,426,820","7,403,562,483","6,503,785,377","597,864,337","4,306,512","3,916,442","3,289,073","390,070",164,149,128,15
Noah Kahan,"8,047,612,721","7,484,717,817","6,050,854,294","562,894,904","8,928,615","8,395,895","6,908,271","532,720",104,89,73,15
Grupo Firme,"8,025,294,230","5,399,469,231","1,859,349,072","2,625,824,999","4,680,052","2,983,640","1,152,288","1,696,412",293,243,112,50
YG,"8,067,345,745","3,785,713,401","972,273,011","4,281,632,344","1,669,786","717,458","178,653","952,328",313,177,60,136
Mitski,"8,094,898,106","8,093,403,269","8,093,403,269","1,494,837","6,385,810","6,384,759","6,384,759","1,051",80,79,79,1
Jung Kook,"8,145,038,314","6,819,037,236","2,836,903,266","1,326,001,078","7,549,753","7,010,614","2,785,945","539,139",47,40,18,7
Led Zeppelin,"8,069,193,391","8,069,193,391","8,069,193,391",0,"3,436,689","3,436,689","3,436,689",0,235,235,235,0
Paulo Londra,"8,199,861,027","6,642,485,153","5,318,956,324","1,557,375,874","3,029,277","2,401,271","1,734,472","628,006",57,47,35,10
Alok,"8,110,945,685","6,530,720,208","217,373,623","1,580,225,477","3,224,039","2,667,429","54,042","556,610",253,186,9,67
Julia Michaels,"8,224,169,272","3,890,988,545","2,791,168,803","4,333,180,727","1,887,999","977,745","534,868","910,254",113,54,41,59
Dalex,"8,242,599,874","3,575,135,053","436,510,611","4,667,464,821","2,638,832","1,044,033","93,477","1,594,799",202,87,48,115
Bryant Myers,"8,281,055,190","2,579,889,747","768,641,266","5,701,165,443","6,336,767","2,423,646","737,910","3,913,121",200,67,27,133
Zé Neto & Cristiano,"8,291,080,523","7,209,105,330","6,762,277,274","1,081,975,193","3,621,839","3,232,713","2,653,798","389,126",221,200,178,21
Bastille,"8,386,841,030","5,457,197,279","4,993,378,789","2,929,643,751","2,289,507","1,338,284","1,239,130","951,223",274,230,161,44
Bon Jovi,"8,400,718,755","8,386,038,187","8,290,439,479","14,680,568","4,922,868","4,790,623","4,636,479","132,245",389,385,361,4
Tainy,"8,447,779,026","4,082,487,133","4,810,880","4,365,291,893","4,115,220","2,747,636","5,743","1,367,584",98,67,20,31
Cigarettes After Sex,"8,402,672,159","8,402,672,159","8,402,672,159",0,"11,044,572","11,044,572","11,044,572",0,44,44,44,0
T-Pain,"8,458,618,135","3,567,594,602","654,331,892","4,891,023,533","3,950,131","1,527,528","327,739","2,422,603",372,219,120,153
The 1975,"8,460,976,942","8,337,565,889","8,316,121,524","123,411,053","3,489,410","3,401,529","3,399,890","87,881",195,189,182,6
Chencho Corleone,"8,477,617,378","442,841,321","212,166,724","8,034,776,057","3,558,476","458,004","180,941","3,100,472",65,21,12,44
Maria Becerra,"8,481,628,517","3,034,660,188","2,140,533,211","5,446,968,329","4,075,360","1,499,065","1,129,257","2,576,295",99,52,38,47
Paramore,"8,493,062,447","8,493,062,447","8,449,430,612",0,"4,229,768","4,229,768","4,199,174",0,137,137,121,0
The Notorious B.I.G.,"8,494,493,814","7,310,831,236","5,386,717,948","1,183,662,578","3,187,404","2,941,207","2,300,311","246,197",186,132,75,54
Jonas Blue,"8,519,072,929","6,981,011,070","32,694,895","1,538,061,859","1,846,949","1,516,516","1,926","330,433",197,125,2,72
Ninho,"8,526,883,761","5,298,278,427","3,920,262,334","3,228,605,334","4,805,193","3,472,559","2,247,063","1,332,634",244,166,115,78
Luis Fonsi,"8,544,968,200","7,572,845,922","1,262,171,429","972,122,278","2,196,712","1,995,149","553,945","201,563",225,169,132,56
Slipknot,"8,591,336,484","8,591,336,484","8,591,336,484",0,"4,769,731","4,769,731","4,769,731",0,223,223,223,0
The Killers,"8,610,703,266","8,610,126,081","8,435,411,618","577,185","4,014,501","4,014,376","3,971,704",125,210,209,153,1
Shreya Ghoshal,"8,592,983,315","1,514,369,062","661,583,174","7,078,614,253","11,100,389","1,951,724","717,959","9,148,665",831,263,126,568
Luis R Conriquez,"8,619,159,286","4,473,397,501","1,624,761,864","4,145,761,785","12,920,740","6,929,340","752,677","5,991,400",450,357,207,93
Rammstein,"8,684,453,717","8,684,453,717","8,569,259,643",0,"4,748,787","4,748,787","4,713,276",0,245,245,167,0
Jhené Aiko,"8,700,088,005","4,984,068,422","2,559,262,430","3,716,019,583","3,789,571","2,664,392","1,435,216","1,125,179",153,110,74,43
Ñengo Flow,"8,734,652,487","1,868,203,532","753,683,850","6,866,448,955","4,628,541","1,363,251","798,151","3,265,290",442,185,96,257
Lil Tecca,"8,777,612,524","7,802,433,620","6,310,190,809","975,178,904","5,683,456","5,445,339","4,578,219","238,117",126,105,89,21
Lorde,"8,814,180,195","8,385,767,991","8,016,228,529","428,412,204","3,308,518","2,983,228","2,885,526","325,290",70,60,55,10
David Bowie,"8,793,212,303","6,925,035,013","6,777,462,569","1,868,177,290","3,417,111","2,571,946","2,530,202","845,165","1,048","1,015",953,33
U2,"8,836,716,287","8,330,534,494","8,109,986,942","506,181,793","3,994,463","3,778,796","3,181,886","215,667",607,599,505,8
Troye Sivan,"8,863,431,935","6,336,947,541","5,274,962,452","2,526,484,394","2,823,449","2,173,808","1,952,481","649,641",142,98,59,44
Foo Fighters,"8,867,372,019","8,863,497,756","8,853,196,757","3,874,263","2,948,673","2,947,148","2,945,825","1,525",247,246,244,1
Russ,"8,882,112,748","8,566,215,353","7,460,268,944","315,897,395","2,154,494","2,025,951","1,713,636","128,543",405,378,306,27
Madonna,"8,899,712,659","7,532,107,347","6,352,388,335","1,367,605,312","4,662,416","3,714,361","3,217,676","948,055",663,628,436,35
Florida Georgia Line,"8,926,204,079","5,777,178,614","4,116,118,575","3,149,025,465","1,545,657","1,002,537","649,924","543,120",124,107,85,17
Darell,"8,943,432,737","1,372,767,671","442,398,411","7,570,665,066","3,058,243","570,629","195,389","2,487,614",245,82,37,163
Christina Aguilera,"8,950,846,005","4,966,518,825","3,790,378,326","3,984,327,180","3,569,533","1,816,233","1,435,721","1,753,300",251,226,171,25
Grupo Frontera,"8,961,797,475","5,780,039,000","1,601,665,487","3,181,758,475","13,423,787","6,744,747","1,702,551","6,679,040",60,41,23,19
Alessia Cara,"8,988,641,701","5,675,157,935","4,731,713,923","3,313,483,766","2,192,616","1,585,683","1,444,124","606,933",147,118,81,29
blink-182,"8,966,014,451","8,849,171,496","8,811,575,327","116,842,955","3,632,136","3,595,186","3,587,017","36,950",221,215,212,6
Clean Bandit,"9,093,188,806","8,827,926,467","70,936,315","265,262,339","2,590,910","2,367,681","4,168","223,229",222,188,13,34
Creedence Clearwater Revival,"9,024,751,990","9,024,751,990","9,020,321,309",0,"4,616,779","4,616,779","4,616,286",0,177,177,176,0
Meek Mill,"9,006,098,760","6,750,956,325","1,894,762,744","2,255,142,435","1,915,817","1,344,713","539,836","571,104",427,316,175,111
Kesha,"9,139,453,669","5,891,209,727","5,380,281,267","3,248,243,942","4,435,857","2,783,500","2,645,298","1,652,357",175,150,102,25
Eladio Carrion,"9,175,308,010","6,840,443,025","2,385,460,895","2,334,864,985","4,685,698","3,278,130","1,187,096","1,407,568",252,160,83,92
Frank Sinatra,"9,198,532,341","8,921,752,168","7,264,799,783","276,780,173","3,719,030","3,548,827","2,632,789","170,203","1,594","1,554","1,260",40
Elvis Presley,"9,253,670,786","9,208,721,342","8,456,363,469","44,949,444","3,659,359","3,655,774","3,449,680","3,585","1,629","1,608","1,511",21
PARTYNEXTDOOR,"9,262,868,881","6,203,977,457","4,318,475,357","3,058,891,424","8,071,986","6,881,136","6,360,166","1,190,850",146,107,82,39
Labrinth,"9,372,078,148","6,310,552,569","4,965,049,279","3,061,525,579","2,854,433","2,271,226","1,728,522","583,207",174,123,87,51
Wisin & Yandel,"9,380,333,706","6,429,379,434","3,808,969,369","2,950,954,272","4,990,210","3,581,872","2,540,687","1,408,338",329,275,173,54
TWICE,"9,422,040,597","9,351,043,852","9,249,095,975","70,996,745","4,699,939","4,640,125","3,931,580","59,814",287,285,262,2
Mora,"9,493,730,741","7,115,133,062","2,727,007,268","2,378,597,679","5,803,282","3,573,481","1,691,958","2,229,801",131,90,50,41
Alicia Keys,"9,505,344,944","6,741,277,819","5,970,717,841","2,764,067,125","4,363,130","2,737,407","2,400,691","1,625,723",279,246,187,33
Tame Impala,"9,531,061,505","8,817,846,005","8,714,755,874","713,215,500","7,841,422","7,321,946","7,292,196","519,476",127,101,85,26
ABBA,"9,543,365,929","9,543,365,929","9,543,365,929",0,"5,832,861","5,832,861","5,832,861",0,172,172,172,0
System Of A Down,"9,554,417,700","9,554,417,700","9,530,075,440",0,"5,795,618","5,795,618","5,770,370",0,80,80,79,0
Rick Ross,"9,562,122,884","2,782,929,683","654,766,935","6,779,193,201","2,928,754","888,648","182,555","2,040,106",536,223,66,313
Brent Faiyaz,"9,600,286,449","7,370,970,900","6,347,924,562","2,229,315,549","6,923,691","5,333,696","4,410,135","1,589,995",131,109,62,22
Melanie Martinez,"9,636,225,790","9,636,225,790","9,503,772,501",0,"3,329,675","3,329,675","3,303,495",0,90,90,67,0
Charli xcx,"9,630,410,849","5,993,070,208","3,805,759,652","3,637,340,641","7,613,989","6,502,767","3,838,281","1,111,222",297,231,108,66
Stray Kids,"9,722,136,341","9,645,919,706","9,175,189,389","76,216,635","9,671,310","9,636,354","8,796,907","34,956",302,299,286,3
DJ Khaled,"9,809,104,203","9,044,845,261","575,360,106","764,258,942","2,302,854","1,901,303","179,255","401,551",212,163,41,49
Anirudh Ravichander,"9,719,809,505","7,773,421,640","1,874,488,644","1,946,387,865","8,987,742","6,815,942","1,608,987","2,171,800",645,554,257,91
Quevedo,"9,862,291,026","5,286,385,114","3,508,978,670","4,575,905,912","6,968,963","4,905,609","2,713,069","2,063,354",92,59,34,33
Tate McRae,"9,900,613,479","8,706,758,993","8,234,461,392","1,193,854,486","12,795,736","12,122,341","11,918,929","673,395",94,82,64,12
Reik,"9,902,768,564","8,342,876,023","4,235,933,359","1,559,892,541","3,090,133","2,663,882","1,536,974","426,251",203,160,126,43
Gusttavo Lima,"9,879,600,287","8,404,252,104","7,139,845,743","1,475,348,183","4,210,098","3,613,973","3,120,415","596,125",420,355,319,65
Skrillex,"9,939,209,695","4,599,837,183","814,231,709","5,339,372,512","2,458,439","1,215,017","165,804","1,243,422",222,118,14,104
Daniel Caesar,"9,961,070,508","7,622,843,117","4,011,725,024","2,338,227,391","9,838,868","8,183,421","5,024,644","1,655,447",65,52,35,13
Jul,"9,951,491,132","7,777,736,966","6,140,964,956","2,173,754,166","6,230,777","5,121,189","4,060,131","1,109,588",858,747,603,111
Rels B,"9,982,451,592","8,094,520,811","6,446,074,850","1,887,930,781","6,682,734","5,234,074","3,696,026","1,448,660",150,127,92,23
Little Mix,"10,043,681,738","8,672,878,609","6,320,980,786","1,370,803,129","2,023,923","1,797,048","1,351,054","226,875",219,199,143,20
Lil Tjay,"10,094,341,378","6,700,433,266","4,165,296,746","3,393,908,112","3,323,167","2,359,992","1,478,975","963,175",145,87,57,58
Enrique Iglesias,"10,107,234,880","8,684,051,641","2,528,048,130","1,423,183,239","3,991,413","3,711,754","1,229,342","279,659",283,246,132,37
Yandel,"10,185,937,652","4,786,811,722","1,019,985,181","5,399,125,930","4,021,678","1,746,302","626,630","2,275,376",301,176,88,125
French Montana,"10,130,129,960","5,216,066,711","305,862,155","4,914,063,249","2,479,855","1,453,107","34,213","1,026,748",591,391,108,200
John Legend,"10,215,996,478","6,419,489,694","5,135,141,756","3,796,506,784","2,791,593","1,663,061","1,512,730","1,128,532",356,253,171,103
Meghan Trainor,"10,220,226,789","8,324,827,272","6,559,883,054","1,895,399,517","3,242,328","2,908,047","2,120,598","334,281",203,172,123,31
Chance the Rapper,"10,234,275,091","4,017,500,534","682,645,675","6,216,774,557","2,274,054","483,910","100,172","1,790,144",149,102,35,47
Miguel,"10,251,819,219","5,873,589,257","4,199,088,102","4,378,229,962","4,085,976","2,570,747","2,097,815","1,515,229",200,129,100,71
Zion & Lennox,"10,330,896,046","3,911,557,593","2,007,602,449","6,419,338,453","3,034,443","1,118,285","712,532","1,916,158",233,105,67,128
Gorillaz,"10,291,163,381","10,288,888,876","6,526,369,301","2,274,505","5,432,438","5,431,614","3,959,488",824,287,286,169,1
Lauv,"10,340,717,935","9,264,060,274","6,182,716,056","1,076,657,661","3,688,119","3,433,790","2,677,763","254,329",127,104,63,23
Banda MS de Sergio Lizárraga,"10,396,090,787","9,551,433,944","8,768,288,093","844,656,843","4,070,104","3,669,540","3,166,411","400,564",284,262,245,22
Pink Floyd,"10,463,576,626","10,463,576,626","10,461,576,278",0,"4,873,508","4,873,508","4,642,855",0,433,433,432,0
Radiohead,"10,523,620,753","10,523,620,753","10,459,886,315",0,"7,852,668","7,852,668","7,843,962",0,226,226,197,0
Ava Max,"10,546,127,000","6,990,461,211","6,521,422,864","3,555,665,789","4,675,271","2,323,763","2,249,164","2,351,508",152,99,47,53
Zedd,"10,583,442,930","7,197,800,052","221,950,402","3,385,642,878","2,591,187","1,748,715","25,776","842,472",190,159,22,31
Guns N' Roses,"10,560,457,902","10,560,457,902","10,560,037,659",0,"5,118,347","5,118,347","5,117,839",0,206,206,203,0
The Rolling Stones,"10,353,279,104","10,337,315,391","10,169,399,639","15,963,713","4,197,544","4,192,230","4,137,342","5,314","1,099","1,086","1,017",13
Zara Larsson,"10,619,427,306","7,051,244,666","5,198,507,195","3,568,182,640","2,878,237","1,631,691","1,288,066","1,246,546",173,137,85,36
Robin Schulz,"10,637,441,476","6,353,057,451","343,747,930","4,284,384,025","3,464,722","1,956,460","34,197","1,508,262",304,223,44,81
Dr. Dre,"10,661,797,508","6,972,391,296","355,958,376","3,689,406,212","5,412,882","3,296,577","206,408","2,116,305",151,88,26,63
2Pac,"10,731,031,151","10,506,752,525","4,375,107,370","224,278,626","5,477,595","5,403,049","2,060,637","74,546",328,291,162,37
Mariah Carey,"10,711,200,503","9,734,342,681","8,073,225,599","976,857,822","4,004,813","3,593,073","3,009,152","411,740",476,452,307,24
ZAYN,"10,788,250,586","9,762,672,927","4,954,290,723","1,025,577,659","3,910,749","3,693,927","1,813,946","216,822",121,97,79,24
Megan Thee Stallion,"10,757,927,353","6,455,564,031","3,805,073,943","4,302,363,322","5,140,605","2,987,349","1,563,611","2,153,256",221,171,101,50
Childish Gambino,"10,791,587,294","9,926,618,472","8,925,076,057","864,968,822","4,833,186","4,377,522","4,049,698","455,664",128,109,78,19
Michael Bublé,"10,813,058,707","10,216,462,104","8,845,712,690","596,596,603","2,095,646","1,919,902","1,759,762","175,744",265,240,182,25
Christian Nodal,"10,951,740,371","7,703,467,723","6,509,242,374","3,248,272,648","4,367,213","3,093,518","2,478,492","1,273,695",97,67,59,30
Jack Harlow,"10,882,897,246","7,252,882,853","4,759,273,393","3,630,014,393","4,648,785","2,887,276","2,296,005","1,761,509",130,102,76,28
Wisin,"10,952,439,401","4,038,074,785","523,904,909","6,914,364,616","2,618,188","885,126","70,373","1,733,062",240,123,34,117
Macklemore,"10,976,551,872","5,289,033,598","389,748,077","5,687,518,274","3,322,226","2,085,657","81,217","1,236,569",123,65,32,58
blackbear,"11,014,185,069","7,565,926,429","6,096,908,535","3,448,258,640","2,105,631","1,304,571","1,117,386","801,060",209,141,92,68
5 Seconds of Summer,"11,011,901,869","10,313,216,344","9,838,302,736","698,685,525","3,142,642","2,982,486","2,937,837","160,156",202,194,186,8
Bryson Tiller,"11,038,282,321","7,284,566,590","6,986,682,517","3,753,715,731","5,767,969","4,328,570","4,198,249","1,439,399",135,85,74,50
Lil Yachty,"10,980,877,379","4,692,664,156","1,996,658,562","6,288,213,223","3,956,032","2,074,973","939,837","1,881,059",354,182,97,172
Ne-Yo,"11,069,924,196","5,263,080,899","4,624,594,417","5,806,843,297","6,105,109","2,815,466","2,497,288","3,289,643",310,185,142,125
Martin Garrix,"11,089,765,409","10,050,481,220","349,516,162","1,039,284,189","2,600,812","2,430,836","38,450","169,976",221,191,8,30
Jorge & Mateus,"11,132,703,921","8,437,715,233","8,091,179,350","2,694,988,688","7,330,584","6,066,921","5,370,839","1,263,663",345,272,268,73
Anne-Marie,"11,136,180,890","4,470,061,405","3,348,157,718","6,666,119,485","3,111,777","849,333","606,765","2,262,444",226,119,54,107
Becky G,"11,208,435,261","7,440,486,793","1,841,258,033","3,767,948,468","2,994,735","2,342,137","496,457","652,598",195,114,62,81
Camilo,"11,263,603,844","6,886,504,909","2,961,357,833","4,377,098,935","5,354,710","3,166,266","1,138,812","2,188,444",87,55,33,32
mgk,"11,256,405,790","9,728,531,360","3,723,762,808","1,527,874,430","3,131,530","2,720,709","929,136","410,821",208,149,80,59
Morat,"11,246,546,815","9,194,192,170","6,680,085,934","2,052,354,645","6,154,433","5,098,837","3,923,285","1,055,596",121,103,83,18
John Mayer,"11,288,724,215","10,685,563,172","10,403,618,159","603,161,043","4,816,739","4,451,627","4,391,642","365,112",228,205,200,23
ROSALÍA,"11,448,062,375","7,595,863,134","4,058,335,226","3,852,199,241","3,526,190","2,034,498","1,063,574","1,491,692",82,66,53,16
Bob Marley & The Wailers,"11,425,276,811","11,316,080,589","10,496,011,942","109,196,222","7,728,499","7,673,815","6,840,775","54,684",637,629,511,8
Flo Rida,"11,595,861,003","9,375,513,624","3,541,582,175","2,220,347,379","4,943,210","3,635,250","1,119,399","1,307,960",247,191,50,56
Joji,"11,608,859,502","10,815,276,391","9,584,833,169","793,583,111","4,052,872","3,933,351","3,589,949","119,521",74,59,39,15
Carin Leon,"11,600,846,307","7,939,671,551","5,364,646,983","3,661,174,756","12,082,222","8,967,906","5,484,437","3,114,316",387,337,233,50
Black Eyed Peas,"11,652,335,435","11,250,412,758","8,148,362,693","401,922,677","5,407,487","5,222,951","4,679,177","184,536",239,229,157,10
